"conference","year","ordinal","location","submissions","accepted","acceptance_rate"
"KDD","1999","5th","San Diego, California, USA","237","52","21.9"
"WSDM","2025","18th","Hannover, Germany","606","106","17.5"
"WSDM","2024","17th","Merida, Mexico","615","109","17.7"
"WSDM","2023","16th","Singapore, Singapore","690","123","17.8"
"WSDM","2022","15th","Online, Online","790","160","20.3"
"WSDM","2021","14th","Online, Online","603","112","18.6"
"WSDM","2020","13th","Houston, USA","615","91","14.8"
"WSDM","2019","12th","Melbourne, Australia","511","84","16.4"
"WSDM","2018","11th","Los Angeles, California, USA","514","81","15.8"
"WSDM","2017","10th","Cambridge, UK","505","80","15.8"
"WSDM","2016","9th","San Francisco, California, USA","386","67","17.4"
"WSDM","2015","8th","Shanghai, China","238","39","16.4"
"WSDM","2014","7th","New York City, USA","355","64","18"
"WSDM","2013","6th","Rome, Italy","387","73","18.9"
"WSDM","2012","5th","Seattle, USA","363","75","20.7"
"WSDM","2011","4th","Hong Kong, China","372","83","22.3"
"WSDM","2010","3rd","New York City, USA","290","45","15.5"
"WSDM","2009","2nd","Barcelona, Spain","170","29","17.1"
"WSDM","2008","1st","Stanford, California, USA","151","24","15.9"
"SDM","2025","25th","Alexandria, USA","228","61","26.8"
"SDM","2024","24th","Houston, USA","335","98","29.3"
"SDM","2023","23rd","Minneapolis-St. Paul Twin Cities, USA","420","105","25"
"SDM","2022","22nd","Alexandria, USA","298","83","27.9"
"SDM","2021","21st","Online, Online","400","85","21.2"
"SDM","2018","18th","San Diego, California, USA","374","86","23"
"SDM","2017","17th","Houston, USA","358","93","26"
"SDM","2016","16th","Miami, USA","380","96","25.3"
"SDM","2015","15th","Miami, USA","491","108","22"
"SDM","2011","11th","Mesa, USA","491","86","17.5"
"SDM","2007","7th","Minneapolis, USA","302","75","24.8"
"SDM","2006","6th","Bethesda, USA","242","111","45.9"
"SDM","2005","5th","Newport Beach, California, USA","218","77","35.3"
"SDM","2004","4th","Orlando, USA","161","61","37.9"
"SDM","2003","3rd","San Francisco, California, USA","250","34","13.6"
"SDM","2002","2nd","Newport Beach, California, USA","218","94","43.1"
"ECIR","2025","47th","Lucca, Italy","226","52","23"
"ECIR","2024","46th","Glasgow, Scotland, UK","230","57","24.8"
"ECIR","2023","45th","Dublin, Ireland","224","57","25.4"
"ECIR","2022","44th","Stavanger, Norway","175","35","20"
"ECIR","2021","43rd","Online, Online","208","50","24"
"ECIR","2020","42nd","Online, Online","212","55","25.9"
"ECIR","2019","41st","Cologne, Germany","170","39","22.9"
"ECIR","2018","40th","Grenoble, France","171","39","22.8"
"ECIR","2017","39th","Aberdeen, UK","135","36","26.7"
"ECIR","2016","38th","Padua, Italy","201","50","24.9"
"ECIR","2015","37th","Vienna, Austria","190","44","23.2"
"ECIR","2014","36th","Amsterdam, The Netherlands","142","33","23.2"
"ECIR","2013","35th","Moscow, Russia","191","55","28.8"
"ECIR","2012","34th","Barcelona, Spain","163","37","22.7"
"ECIR","2011","33rd","Dublin, Ireland","223","45","20.2"
"ECIR","2010","32nd","Milton Keynes, UK","202","44","21.8"
"ECIR","2009","31st","Toulouse, France","188","42","22.3"
"ECIR","2008","30th","Glasgow, Scotland, UK","139","33","23.7"
"ECIR","2007","29th","Rome, Italy","220","42","19.1"
"ECIR","2006","28th","London, UK","177","37","20.9"
"ECIR","2005","27th","Santiago de Compostela, Spain","124","34","27.4"
"ECIR","2004","26th","Sunderland, UK","88","28","31.8"
"ECIR","2003","25th","Pisa, Italy","101","31","30.7"
"ECIR","2002","24th","Glasgow, Scotland, UK","52","23","44.2"
"SIGIR","2025","48th","Padova, Italy","1071","239","22.3"
"SIGIR","2024","47th","Washington DC, USA","791","160","20.2"
"SIGIR","2023","46th","Taipei, Taiwan, China","822","165","20.1"
"SIGIR","2022","45th","Madrid, Spain","793","161","20.3"
"SIGIR","2021","44th","Online, Online","720","151","21"
"SIGIR","2020","43rd","Online, Online","555","147","26.5"
"SIGIR","2019","42nd","Paris, France","426","84","19.7"
"SIGIR","2018","41st","Ann Arbor, USA","409","86","21"
"SIGIR","2017","40th","Tokyo, Japan","372","78","21"
"SIGIR","2016","39th","Pisa, Italy","341","62","18.2"
"SIGIR","2015","38th","Santiago, Chile","351","70","19.9"
"SIGIR","2014","37nd","Queensland, Australia","387","82","21.2"
"SIGIR","2013","36th","Dublin, Ireland","366","73","19.9"
"SIGIR","2012","35th","Portland, USA","483","98","20.3"
"SIGIR","2011","34th","Beijing, China","543","108","19.9"
"SIGIR","2010","33rd","Geneva, Switzerland","520","87","16.7"
"SIGIR","2009","32nd","Boston, USA","494","78","15.8"
"SIGIR","2008","31st","Singapore, Singapore","497","85","17.1"
"SIGIR","2007","30th","Amsterdam, The Netherlands","490","84","17.1"
"SIGIR","2006","29th","Seattle, USA","399","74","18.5"
"SIGIR","2005","28th","Salvador, Brazil","368","71","19.3"
"SIGIR","2004","27th","Sheffield, UK","267","58","21.7"
"SIGIR","2003","26th","Toronto, Canada","277","46","16.6"
"SIGIR","2002","25th","Tampere, Finland","219","44","20.1"
"SIGIR","2001","24th","New Orleans, USA","201","47","23.4"
"SIGIR","1999","22nd","Berkeley, California, USA","135","33","24.4"
"ICMR","2025","15th","Chicago, USA","515","221","42.9"
"ICMR","2024","14th","Phuket, Thailand","281","117","41.6"
"ICMR","2023","13th","Thessaloniki, Greece","175","57","32.6"
"ICMR","2022","12th","Newark, USA","157","54","34.4"
"ICMR","2021","11th","Taipei, Taiwan, China","134","48","35.8"
"ICMR","2020","10th","Dublin, Ireland","78","33","42.3"
"ICMR","2019","9th","Ottawa, Canada","83","26","31.3"
"ICMR","2018","8th","Yokohama, Japan","136","44","32.4"
"ICMR","2017","7th","Bucharest, Romania","95","33","34.7"
"ICMR","2016","6th","New York City, USA","120","20","16.7"
"ICMR","2015","5th","Shanghai, China","127","48","37.8"
"ICMR","2014","4th","Glasgow, Scotland, UK","111","42","37.8"
"ICMR","2013","3rd","Dallas, USA","96","32","33.3"
"ICMR","2012","2nd","Hong Kong, China","145","50","34.5"
"ICMR","2011","1st","Trento, Italy","366","60","16.4"
"ICWSM","2020","14th","Online, Online","295","72","24.4"
"ICWSM","2019","13th","Munich, Germany","238","51","21.4"
"ICWSM","2018","12th","Palo Alto, California, USA","295","78","26.4"
"ICWSM","2017","11th","Montreal, Canada","372","50","13.4"
"ICWSM","2016","10th","Cologne, Germany","306","52","17"
"ICWSM","2015","9th","Oxford, UK","343","64","18.7"
"ICWSM","2014","8th","Ann Arbor, USA","279","64","22.9"
"ICWSM","2013","7th","Cambridge (MA), USA","349","72","20.6"
"ICWSM","2012","6th","Dublin, Ireland","232","47","20.3"
"ICWSM","2010","4th","Ann Arbor, USA","279","64","22.9"
"WWW","2025","34th","Sydney, Australia","2062","409","19.8"
"WWW","2024","33rd","Singapore, Singapore","2008","405","20.2"
"WWW","2023","32nd","Austin, USA","1783","365","20.5"
"WWW","2022","31st","Online, Online","1822","323","17.7"
"WWW","2021","30th","Online, Online","1736","355","20.4"
"WWW","2020","29th","Taipei, Taiwan, China","1129","219","19.4"
"WWW","2019","28th","San Francisco, California, USA","1247","225","18"
"WWW","2018","27th","Lyon, France","1155","170","14.7"
"WWW","2017","26th","Perth, Australia","966","164","17"
"WWW","2016","25th","Montreal, Canada","727","115","15.8"
"WWW","2015","24th","Florence, Italy","929","131","14.1"
"WWW","2014","23rd","Seoul, Korea","645","84","13"
"WWW","2013","22nd","Rio de Janeiro, Brazil","831","125","15"
"WWW","2012","21st","Lyon, France","885","108","12.2"
"WWW","2011","20th","Hyderabad, India","658","81","12.3"
"WWW","2010","19th","Raleigh, USA","754","91","12.1"
"WWW","2009","18th","Madrid, Spain","823","105","12.8"
"WWW","2008","17th","Beijing, China","880","103","11.7"
"WWW","2007","16th","Banff, Canada","755","111","14.7"
"WWW","2006","15th","Edinburgh, Scotland, UK","667","75","11.2"
"WWW","2005","14th","Chiba, Japan","550","77","14"
"WWW","2004","13th","New York City, USA","506","74","14.6"
"WWW","2003","12th","Budapest, Hungary","602","77","12.8"
"WWW","2002","11th","Honolulu, Hawaii, USA","454","72","15.9"
"WWW","2001","10th","Hong Kong, China","392","78","19.9"
"WWW","2000","9th","Amsterdam, The Netherlands","280","57","20.4"
"WWW","1998","7th","Brisbane, Australia","218","54","24.8"
"WWW","1997","6th","Santa Clara, California, USA","276","64","23.2"
"WWW","1996","5th","Paris, France","210","58","27.6"
"WWW","1995","4th","Boston, USA","189","59","31.2"
"CHI","2025","43rd","Yokohama, Japan","4668","1249","26.8"
"CHI","2024","42nd","Honolulu, Hawaii, USA","4028","1058","26.3"
"CHI","2023","41st","Hamburg, Germany","3180","879","27.6"
"CHI","2022","40th","New Orleans, USA","2579","637","24.7"
"CHI","2021","39th","Online, Online","2845","747","26.3"
"CHI","2020","38th","Online, Online","3126","760","24.3"
"CHI","2019","37th","Glasgow, Scotland, UK","2958","703","23.8"
"CHI","2018","36th","Montreal, Canada","2592","666","25.7"
"CHI","2017","35th","Denver, USA","2400","600","25"
"CHI","2016","34th","San Jose, California, USA","2435","565","23.2"
"CHI","2015","33rd","Seoul, Korea","1520","379","24.9"
"CHI","2014","32nd","Toronto, Canada","2043","465","22.8"
"CHI","2013","31st","Paris, France","1963","392","20"
"CHI","2012","30th","Austin, USA","1577","370","23.5"
"CHI","2011","29th","Vancouver, Canada","1532","410","26.8"
"CHI","2010","28th","Atlanta, USA","1346","302","22.4"
"CHI","2009","27th","Boston, USA","1130","277","24.5"
"CHI","2008","26th","Florence, Italy","714","157","22"
"CHI","2007","25th","San Jose, California, USA","840","182","21.7"
"CHI","2006","24th","Montreal, Canada","626","151","24.1"
"CHI","2005","23rd","Portland, USA","372","93","25"
"CHI","2004","22nd","Vienna, Austria","578","93","16.1"
"CHI","2003","21st","Fort Lauderdale, USA","468","75","16"
"CHI","2002","20th","Minneapolis, USA","414","61","14.7"
"CHI","2001","19th","Seattle, USA","352","69","19.6"
"CHI","2000","18th","The Hague, The Netherlands","336","72","21.4"
"CHI","1999","17th","Pittsburgh, USA","312","78","25"
"CHI","1998","16th","Los Angeles, California, USA","351","81","23.1"
"CHI","1997","15th","Atlanta, USA","234","55","23.5"
"CHI","1996","14th","Vancouver, Canada","256","55","21.5"
"CHI","1995","13th","Denver, USA","228","66","28.9"
"CHI","1994","12th","Boston, USA","263","70","26.6"
"CHI","1993","11th","Amsterdam, The Netherlands","330","62","18.8"
"CHI","1992","10th","Monterey, California, USA","216","67","31"
"CHI","1991","9th","New Orleans, USA","240","56","23.3"
"CHI","1990","8th","Seattle, USA","260","47","18.1"
"CHI","1989","7th","Austin, USA","199","54","27.1"
"CHI","1988","6th","Washington DC, USA","187","39","20.9"
"CHI","1987","5th","Toronto, Canada","166","46","27.7"
"CHI","1986","4th","Boston, USA","122","47","38.5"
"CHI","1985","3rd","San Francisco, California, USA","170","35","20.6"
"CHI","1983","2nd","Boston, USA","176","59","33.5"
"CHI","1982","1st","Gaithersburg, USA","165","75","45.5"
"CSCW","2018","21st","Jersey City, USA","1107","289","26.1"
"CSCW","2017","20th","Portland, USA","530","183","34.5"
"CSCW","2016","19th","San Francisco, California, USA","571","142","24.9"
"CSCW","2015","18th","Vancouver, Canada","575","165","28.7"
"CSCW","2014","17th","Baltimore, USA","497","134","27"
"CSCW","2013","16th","San Antonio, USA","390","139","35.6"
"CSCW","2012","15th","Seattle, USA","415","164","39.5"
"CSCW","2011","14th","Hangzhou, China","264","58","22"
"CSCW","2010","13th","Savannah, USA","288","58","20.1"
"CSCW","2008","12th","San Diego, California, USA","370","86","23.2"
"CSCW","2006","11th","Banff, Canada","304","62","20.4"
"CSCW","2004","10th","Chicago, USA","176","53","30.1"
"CSCW","2002","9th","New Orleans, USA","193","39","20.2"
"CSCW","2000","8th","Philadelphia, USA","199","36","18.1"
"CSCW","1998","7th","Seattle, USA","220","41","18.6"
"CSCW","1994","5th","Chapel Hill, USA","200","42","21"
"CSCW","1986","1st","Austin, USA","80","30","37.5"
"UbiComp","2016","16th","Heidelberg, Germany","389","101","26"
"UbiComp","2014","14th","Seattle, USA","454","71","15.6"
"UbiComp","2013","13th","Zurich, Switzerland","394","92","23.4"
"UbiComp","2012","12th","Pittsburgh, USA","301","58","19.3"
"UbiComp","2011","11th","Beijing, China","302","50","16.6"
"UbiComp","2010","10th","Copenhagen, Denmark","202","39","19.3"
"UbiComp","2009","9th","Orlando, USA","251","31","12.4"
"UbiComp","2008","8th","Seoul, Korea","226","42","18.6"
"UbiComp","2007","7th","Innsbruck, Austria","152","29","19.1"
"UbiComp","2006","6th","Orange County, California, USA","204","30","14.7"
"UbiComp","2005","5th","Tokyo, Japan","230","22","9.6"
"UbiComp","2004","4th","Nottingham, UK","144","26","18.1"
"UbiComp","2003","3rd","Seattle, USA","117","16","13.7"
"UbiComp","2002","2nd","Gothenburg, Sweden","136","15","11"
"UbiComp","2001","1st","Atlanta, USA","90","14","15.6"
"UIST","2025","38th","Busan, Korea","947","210","22.2"
"UIST","2024","37th","Pittsburgh, USA","608","146","24"
"UIST","2023","36th","San Francisco, California, USA","483","121","25.1"
"UIST","2022","35th","Bend, USA","372","98","26.3"
"UIST","2021","34th","Online, Online","367","95","25.9"
"UIST","2020","33rd","Online, Online","450","97","21.6"
"UIST","2019","32nd","New Orleans, USA","382","93","24.3"
"UIST","2018","31st","Berlin, Germany","375","80","21.3"
"UIST","2017","30th","Quebec City, Canada","324","73","22.5"
"UIST","2016","29th","Tokyo, Japan","384","79","20.6"
"UIST","2015","28th","Charlotte, USA","297","70","23.6"
"UIST","2014","27th","Honolulu, Hawaii, USA","333","74","22.2"
"UIST","2013","26th","St Andrews, UK","317","62","19.6"
"UIST","2012","25th","Cambridge (MA), USA","288","62","21.5"
"UIST","2011","24th","Santa Barbara, California, USA","262","67","25.6"
"UIST","2010","23rd","New York City, USA","207","38","18.4"
"UIST","2009","22nd","Victoria, Canada","183","33","18"
"UIST","2008","21st","Monterey, California, USA","115","25","21.7"
"UIST","2007","20th","Newport, Rhode Island, USA","129","24","18.6"
"UIST","2006","19th","Montreux, Switzerland","177","40","22.6"
"UIST","2005","18th","Seattle, USA","159","31","19.5"
"UIST","2004","17th","Santa Fe, USA","170","36","21.2"
"UIST","2003","16th","Vancouver, Canada","116","25","21.6"
"INFOCOM","2025","44th","London, UK","1458","272","18.7"
"INFOCOM","2024","43rd","Vancouver, Canada","1307","256","19.6"
"INFOCOM","2023","42nd","New York City, USA","1312","252","19.2"
"INFOCOM","2022","41st","Online, Online","1129","224","19.8"
"INFOCOM","2021","40th","Online, Online","1271","251","19.7"
"INFOCOM","2020","39th","Online, Online","1397","267","19.1"
"INFOCOM","2019","38th","Paris, France","1464","288","19.7"
"INFOCOM","2018","37th","Honolulu, Hawaii, USA","1609","308","19.1"
"INFOCOM","2017","36th","Atlanta, USA","1395","292","20.9"
"INFOCOM","2016","35th","San Francisco, California, USA","1644","300","18.2"
"INFOCOM","2015","34th","Hong Kong, China","1640","316","19.3"
"INFOCOM","2014","33rd","Toronto, Canada","1650","319","19.3"
"INFOCOM","2013","32nd","Turin, Italy","1613","279","17.3"
"INFOCOM","2012","31st","Orlando, USA","1547","278","18"
"INFOCOM","2011","30th","Shanghai, China","1823","291","16"
"INFOCOM","2010","29th","San Diego, California, USA","1575","276","17.5"
"INFOCOM","2009","28th","Rio de Janeiro, Brazil","1435","282","19.7"
"INFOCOM","2008","27th","Phoenix, USA","1152","236","20.5"
"INFOCOM","2007","26th","Anchorage, USA","1400","250","17.9"
"INFOCOM","2006","25th","Barcelona, Spain","1412","251","17.8"
"INFOCOM","2005","24th","Miami, USA","1419","244","17.2"
"INFOCOM","2004","23rd","Hong Kong, China","1420","261","18.4"
"INFOCOM","2003","22nd","San Francisco, California, USA","1100","224","20.4"
"INFOCOM","2002","21st","New York City, USA","938","192","20.5"
"INFOCOM","2001","20th","Anchorage, USA","826","192","23.2"
"INFOCOM","2000","19th","Tel Aviv, Israel","717","192","26.8"
"INFOCOM","1999","18th","New York City, USA","573","184","32.1"
"INFOCOM","1998","17th","San Francisco, California, USA","800","172","21.5"
"INFOCOM","1997","16th","Kobe, Japan","525","167","31.8"
"INFOCOM","1996","15th","San Francisco, California, USA","590","176","29.8"
"INFOCOM","1995","14th","Boston, USA","470","156","33.2"
"NSDI","2025","22nd","Philadelphia, USA","565","83","14.7"
"NSDI","2024","21st","Santa Clara, California, USA","601","112","18.6"
"NSDI","2023","20th","Boston, USA","560","96","17.1"
"NSDI","2022","19th","Renton, USA","396","78","19.7"
"NSDI","2021","18th","Online, Online","369","59","16"
"NSDI","2020","17th","Santa Clara, California, USA","354","65","18.4"
"NSDI","2019","16th","Boston, USA","332","49","14.8"
"NSDI","2018","15th","Renton, USA","255","40","15.7"
"NSDI","2017","14th","Boston, USA","254","46","18.1"
"NSDI","2016","13th","Santa Clara, California, USA","225","45","20"
"NSDI","2015","12th","Oakland, California, USA","213","42","19.7"
"NSDI","2014","11th","Seattle, USA","223","38","17"
"NSDI","2013","10th","Lombard, USA","170","38","22.4"
"NSDI","2012","9th","San Jose, California, USA","169","30","17.8"
"NSDI","2011","8th","Boston, USA","157","27","17.2"
"NSDI","2010","7th","San Jose, California, USA","175","29","16.6"
"NSDI","2009","6th","Boston, USA","163","32","19.6"
"NSDI","2008","5th","San Francisco, California, USA","175","30","17.1"
"NSDI","2007","4th","Cambridge (MA), USA","113","27","23.9"
"NSDI","2006","3rd","San Jose, California, USA","110","28","25.5"
"NSDI","2005","2nd","Boston, USA","112","25","22.3"
"NSDI","2004","1st","San Francisco, California, USA","118","27","22.9"
"SIGCOMM","2025","58th","Coimbra, Portugal","460","74","16.1"
"SIGCOMM","2024","57th","Sydney, Australia","366","62","16.9"
"SIGCOMM","2023","56th","New York City, USA","323","71","22"
"SIGCOMM","2022","55th","Online, Online","280","55","19.6"
"SIGCOMM","2021","54th","Online, Online","246","55","22.4"
"SIGCOMM","2020","53rd","Online, Online","250","53","21.2"
"SIGCOMM","2019","52nd","Beijing, China","223","32","14.3"
"SIGCOMM","2018","51st","Budapest, Hungary","220","40","18.2"
"SIGCOMM","2017","50th","Los Angeles, California, USA","250","36","14.4"
"SIGCOMM","2016","49th","Florianopolis, Brazil","231","39","16.9"
"SIGCOMM","2015","48th","London, UK","242","40","16.5"
"SIGCOMM","2014","47th","Chicago, USA","242","45","18.6"
"SIGCOMM","2013","46th","Hong Kong, China","246","38","15.4"
"SIGCOMM","2012","45th","Helsinki, Finland","235","31","13.2"
"SIGCOMM","2011","44th","Toronto, Canada","223","32","14.3"
"SIGCOMM","2010","43rd","New Delhi, India","276","33","12"
"SIGCOMM","2009","42nd","Barcelona, Spain","267","27","10.1"
"SIGCOMM","2008","41st","Seattle, USA","288","36","12.5"
"SIGCOMM","2007","40th","Kyoto, Japan","258","35","13.6"
"SIGCOMM","2006","39th","Pisa, Italy","298","37","12.4"
"SIGCOMM","2005","38th","Philadelphia, USA","255","27","10.6"
"SIGCOMM","2004","37th","Portland, USA","297","29","9.8"
"SIGCOMM","2003","36th","Karlsruhe, Germany","319","34","10.7"
"SIGCOMM","2002","35th","Pittsburgh, USA","300","25","8.3"
"SIGCOMM","2001","34th","San Diego, California, USA","252","23","9.1"
"SIGCOMM","2000","33rd","Stockholm, Sweden","238","26","10.9"
"SIGCOMM","1999","32nd","Cambridge (MA), USA","190","24","12.6"
"SIGCOMM","1998","31st","Vancouver, Canada","247","27","10.9"
"SIGCOMM","1997","30th","Cannes, France","213","24","11.3"
"SIGCOMM","1996","29th","Palo Alto, California, USA","162","27","16.7"
"SIGCOMM","1995","28th","Cambridge (MA), USA","143","30","21"
"SIGCOMM","1994","27th","London, UK","141","29","20.6"
"MobiCom","2025","31st","Hong Kong, China","587","76","12.9"
"MobiCom","2024","30th","Washington DC, USA","288","55","19.1"
"MobiCom","2023","29th","Madrid, Spain","377","92","24.4"
"MobiCom","2022","28th","Sydney, Australia","314","56","17.8"
"MobiCom","2021","27th","New Orleans, USA","297","59","19.9"
"MobiCom","2020","26th","Online, Online","384","62","16.1"
"MobiCom","2019","25th","Los Cabos, Mexico","290","55","19"
"MobiCom","2018","24th","New Delhi, India","187","42","22.5"
"MobiCom","2017","23rd","Snowbird, USA","186","35","18.8"
"MobiCom","2016","22nd","New York City, USA","226","31","13.7"
"MobiCom","2015","21st","Paris, France","207","38","18.4"
"MobiCom","2014","20th","Maui, Hawaii, USA","220","36","16.4"
"MobiCom","2013","19th","Miami, USA","207","28","13.5"
"MobiCom","2012","18th","Istanbul, Turkey","212","32","15.1"
"MobiCom","2011","17th","Las Vegas, USA","214","29","13.6"
"MobiCom","2010","16th","Chicago, USA","233","33","14.2"
"MobiCom","2009","15th","Beijing, China","282","30","10.6"
"MobiCom","2008","14th","San Francisco, California, USA","264","31","11.7"
"MobiCom","2007","13th","Montreal, Canada","233","26","11.2"
"MobiCom","2006","12th","Los Angeles, California, USA","298","35","11.7"
"MobiCom","2005","11th","Cologne, Germany","224","23","10.3"
"MobiCom","2004","10th","Philadelphia, USA","326","26","8"
"MobiCom","2003","9th","San Diego, California, USA","281","27","9.6"
"MobiCom","2002","8th","Atlanta, USA","364","26","7.1"
"MobiCom","2001","7th","Rome, Italy","281","30","10.7"
"MobiCom","2000","6th","Boston, USA","226","28","12.4"
"MobiCom","1999","5th","Seattle, USA","170","28","16.5"
"MobiCom","1998","4th","Dallas, USA","147","27","18.4"
"MobiCom","1997","3rd","Budapest, Hungary","101","26","25.7"
"MobiCom","1996","2nd","Rye, USA","90","18","20"
"MobiCom","1995","1st","Berkeley, California, USA","72","20","27.8"
"MobiSys","2025","23rd","Anaheim, California, USA","233","42","18"
"MobiSys","2024","22nd","Tokyo, Japan","263","43","16.3"
"MobiSys","2023","21st","Helsinki, Finland","198","41","20.7"
"MobiSys","2022","20th","Portland, USA","176","38","21.6"
"MobiSys","2021","19th","Online, Online","166","36","21.7"
"MobiSys","2020","18th","Toronto, Canada","175","34","19.4"
"MobiSys","2019","17th","Seoul, Korea","172","39","22.7"
"MobiSys","2018","16th","Munich, Germany","138","37","26.8"
"MobiSys","2017","15th","Niagara Falls, USA","188","34","18.1"
"MobiSys","2016","14th","Singapore, Singapore","197","31","15.7"
"MobiSys","2015","13th","Florence, Italy","219","29","13.2"
"MobiSys","2014","12th","Bretton Woods, USA","185","25","13.5"
"MobiSys","2013","11th","Taipei, Taiwan, China","211","33","15.6"
"MobiSys","2012","10th","Low Wood Bay, Lake District, UK","182","32","17.6"
"MobiSys","2011","9th","Bethesda, USA","141","25","17.7"
"MobiSys","2010","8th","San Francisco, California, USA","126","25","19.8"
"MobiSys","2009","7th","Krakow, Poland","128","26","20.3"
"MobiSys","2008","6th","Breckenridge, USA","123","22","17.9"
"MobiSys","2007","5th","San Juan, Puerto Rico","105","22","21"
"MobiSys","2006","4th","Uppsala, Sweden","123","19","15.4"
"MobiSys","2005","3rd","Seattle, USA","84","20","23.8"
"MobiSys","2004","2nd","Boston, USA","162","22","13.6"
"MobiSys","2003","1st","San Francisco, California, USA","153","23","15"
"SenSys","2025","23rd","Irvine, California, USA","235","45","19.1"
"SenSys","2024","22nd","Hangzhou, China","313","58","18.5"
"SenSys","2023","21st","Istanbul, Turkey","179","35","19.6"
"SenSys","2022","20th","Boston, USA","209","52","24.9"
"SenSys","2021","19th","Coimbra, Portugal","139","25","18"
"SenSys","2020","18th","Online, Online","203","43","21.2"
"SenSys","2019","17th","New York City, USA","144","28","19.4"
"SenSys","2018","16th","Shenzhen, China","147","23","15.6"
"SenSys","2017","15th","Delft, The Netherlands","152","26","17.1"
"SenSys","2016","14th","Stanford, California, USA","119","21","17.6"
"SenSys","2015","13th","Seoul, Korea","132","27","20.5"
"SenSys","2014","12th","Memphis, USA","117","21","17.9"
"SenSys","2013","11th","Rome, Italy","123","21","17.1"
"SenSys","2012","10th","Toronto, Canada","123","23","18.7"
"SenSys","2011","9th","Seattle, USA","123","22","17.9"
"SenSys","2010","8th","Zurich, Switzerland","145","25","17.2"
"SenSys","2009","7th","Berkeley, California, USA","119","21","17.6"
"SenSys","2008","6th","Raleigh, USA","153","25","16.3"
"SenSys","2007","5th","Sydney, Australia","149","25","16.8"
"SenSys","2006","4th","Boulder, USA","122","24","19.7"
"SenSys","2005","3rd","San Diego, California, USA","118","21","17.8"
"SenSys","2004","2nd","Baltimore, USA","145","21","14.5"
"SenSys","2003","1st","Los Angeles, California, USA","137","24","17.5"
"ACL","2025","63rd","Vienna, Austria","8360","1699","20.3"
"ACL","2024","62nd","Bangkok, Thailand","4407","943","21.4"
"ACL","2023","61st","Toronto, Canada","4864","1074","22.1"
"ACL","2022","60th","Dublin, Ireland","3378","701","20.8"
"ACL","2021","59th","Online, Online","3350","710","21.2"
"ACL","2020","58th","Online, Online","2248","571","25.4"
"ACL","2019","57th","Florence, Italy","1740","447","25.7"
"ACL","2018","56th","Melbourne, Australia","1045","256","24.5"
"ACL","2017","55th","Vancouver, Canada","751","195","26"
"ACL","2016","54th","Berlin, Germany","825","231","28"
"ACL","2015","53rd","Beijing, China","692","173","25"
"ACL","2014","52nd","Baltimore, USA","572","146","25.5"
"ACL","2013","51st","Sofia, Bulgaria","664","174","26.2"
"ACL","2012","50th","Jeju, Korea","571","111","19.4"
"ACL","2011","49th","Portland, USA","634","164","25.9"
"ACL","2010","48th","Uppsala, Sweden","638","160","25.1"
"ACL","2009","47th","Singapore, Singapore","569","121","21.3"
"ACL","2008","46th","Columbus, USA","470","119","25.3"
"ACL","2007","45th","Prague, Czech Republic","588","131","22.3"
"ACL","2006","44th","Sydney, Australia","630","147","23.3"
"ACL","2005","43rd","Ann Arbor, USA","423","77","18.2"
"ACL","2004","42nd","Barcelona, Spain","348","88","25.3"
"ACL","2003","41st","Sapporo, Japan","360","71","19.7"
"ACL","2002","40th","Philadelphia, USA","256","66","25.8"
"ACL","2001","39th","Toulouse, France","260","69","26.5"
"ACL","2000","38th","Hong Kong, China","267","70","26.2"
"ACL","1999","37th","College Park, USA","320","80","25"
"ACL","1998","36th","Montreal, Canada","550","137","24.9"
"ACL","1997","35th","Madrid, Spain","264","63","23.9"
"EMNLP","2025","30th","Suzhou, China","8174","1811","22.2"
"EMNLP","2024","29th","Miami, USA","6105","1271","20.8"
"EMNLP","2023","28th","Singapore, Singapore","4909","1047","21.3"
"EMNLP","2022","27th","Abu Dhabi, UAE","4190","829","19.8"
"EMNLP","2021","26th","Punta Cana, Dominican Republic","3600","840","23.3"
"EMNLP","2020","25th","Online, Online","3359","752","22.4"
"EMNLP","2019","24th","Hong Kong, China","2876","683","23.7"
"EMNLP","2018","23rd","Brussels, Belgium","2231","549","24.6"
"EMNLP","2017","22nd","Copenhagen, Denmark","1418","323","22.8"
"EMNLP","2016","21st","Austin, USA","1087","264","24.3"
"EMNLP","2015","20th","Lisbon, Portugal","1300","312","24"
"EMNLP","2014","19th","Doha, Qatar","790","225","28.5"
"EMNLP","2013","18th","Seattle, USA","772","205","26.6"
"EMNLP","2012","17th","Jeju, Korea","570","139","24.4"
"EMNLP","2011","16th","Edinburgh, Scotland, UK","628","149","23.7"
"EMNLP","2010","15th","Cambridge (MA), USA","500","125","25"
"EMNLP","2009","14th","Singapore, Singapore","475","163","34.3"
"EMNLP","2008","13th","Honolulu, Hawaii, USA","385","116","30.1"
"EMNLP","2007","12th","Prague, Czech Republic","398","109","27.4"
"EMNLP","2006","11th","Sydney, Australia","234","73","31.2"
"EMNLP","2005","10th","Vancouver, Canada","402","127","31.6"
"EMNLP","2004","9th","Barcelona, Spain","257","58","22.6"
"EMNLP","2002","7th","Providence, Rhode Island, USA","142","41","28.9"
"NAACL","2025","18th","Albuquerque, USA","3099","719","23.2"
"NAACL","2024","17th","Mexico City, Mexico","2434","565","23.2"
