"conference","full_name","category","main_discipline","other_disciplines","organization","website"
"ISCA","International Symposium on Computer Architecture","Arch","Computer Architecture","Processor;Memory;Storage;Parallelism;Datacenter;IoT;Network Architecture;ML for Arch;Programming Language;Accelerators;Security;Dependable Processor","ACM SIGARCH, IEEE CompSoc","https://www.iscaconf.org"
"MICRO","IEEE/ACM International Symposium on Microarchitecture","Arch","Microarchitecture","Compiler;Chips;Processor;Multicore;Multiprocessor;Parallelism;Memory;Cloud Computing;Datacenter;IoT;Network Architecture;Accelerator;Quantum","IEEE CompSoc, ACM SIGMICRO","https://microarch.org"
"CCS","ACM Conference on Computer and Communications Security","Security","Software Security;Network Security;Applied Cryptography","Web Security;Privacy;Anonymity;Hardware Security;Formal Methods;Programming Language","ACM, ACM SIGSAC","https://www.sigsac.org/ccs/ccs-history.html"
"IEEE S&P","IEEE Symposium on Security and Privacy","Security","Computer Security;Electronic Privacy","Cryptography Protocols;System Security;Network Security;Privacy-Preserving;Software Security;Human Factors in Security;AI for Security;ML for Security;Hardware Security","IEEE, IEEE CompSoc","https://www.ieee-security.org/"
"USENIX Security","USENIX Security Symposium. ","Security","Security;Privacy","System Security;Network Security;Wireless Security;Security Analysis;ML Security;Language Security;Hardware Security;Cryptography Appli.;Social Security","USENIX","https://www.usenix.org/conferences/byname/108"
"NDSS","Network and Distributed System Security Symposium","Security","ML & AI Security;Attack Prevention & Detection;Cloud & Edge Computing Security","Anti-Malware;Mobile & Wireless Network Security;Security for Cyber-Physical Systems;Web Security","Internet Society","https://www.ndss-symposium.org/"
"Asiacrypt","Asiacrypt: International Conference on the Theory and Application of Cryptology and Information Security","Cryptology","Cryptographic Protocols;Post-Quantum Cryptography;Public-Key Cryptography","Symmetric Cryptography;Secure Implementations and Side-Channel Attacks;Lattice-Based Cryptography;Blockchain & Cryptographic Applications;Privacy-Preserving Computation","International Association for Cryptologic Research","https://www.iacr.org/meetings/asiacrypt/"
"Crypto","Crypto: International Cryptology Conference","Cryptology","Foundations of Cryptology;Cryptographic Algorithms & Constructions;Cryptanalysis & Security Evaluation","Homomorphic Encryption;Cryptography for Privacy & Anonymity;Applied Cryptology in Protocols;Quantum-Safe Cryptographic Designs;Advanced Encryption Schemes","International Association for Cryptologic Research","https://www.iacr.org/meetings/crypto/"
"Eurocrypt","Eurocrypt: International Conference on the Theory and Applications of Cryptographic Techniques","Cryptology","Theoretical Cryptography;Secure Multiparty Computation;Cryptographic Protocol Design","Elliptic Curve Cryptography;Post-Quantum and Quantum Cryptography;Authentication & Key Management;Secure Blockchain Protocols;Cryptography for ML","International Association for Cryptologic Research","https://www.iacr.org/meetings/eurocrypt/"
"DAC","Design Automation Conference","EDA","Electronic Design Automation;Chips to Systems","Security;Systems;Low Power Design;Chiplet Integration;Cloud Computing in EDA","ACM, IEEE","https://www.dac.com/"
"ICCAD","IEEE/ACM International Conference on Computer Aided Design","EDA","Electronic Design Automation;Hardware & System Design Optimization","Formal Methods & Verification;Embedded Systems & IoT;Design for Manufacturability & Yield;ML in EDA;Cyber-Physical Systems & Security","IEEE, ACM","https://www.iccad.com"
"EMSOFT","International Conference on Embedded Software","EmbSys","Embedded Software Design;Real-Time Systems;Cyber-Physical Systems","Formal Methods for Embedded Software;Model-based Design;System-Level Design & Optimization;Energy-Efficient Computing;Embedded System Security","ACM SIGBED","https://sigbed.org/"
"CASES","International Conference on Compilers, Architectures, and Synthesis for Embedded Systems","EmbSys","Embedded Systems Design;Compilers & Code Generation;System-Level Synthesis & Optimization","Hardware/Software Co-Design;Real-Time Systems;Low-Power Design;Security in Embedded Systems;Application-specific Arch","ACM, IEEE","https://esweek.org/cases/"
"CODES-ISSS","International Conference on Hardware/Software Codesign and System Synthesis","EmbSys","Embedded Systems Design;Hardware/Software Co-design;Cyber-physical Systems;IoT","System-level Design;Domain/Application-specific Design;System Architecture;Simulation, Test, Validation, & Verification;Embedded Software;Safety, Security, & Reliability;Power-aware Systems;Embedded Machine Learning;Industrial Practices & Case Studies","ACM, IEEE","https://esweek.org/codes-isss/"
